"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
530605,"GSL NOVA    ","T ","Q",0.67,0.67,0.67,0.67,0.67,0.7,3,250,167,,"17-02-2014"
530609,"CARNATION IN","T ","Q",12.21,12.21,12.21,12.21,12.21,11.63,1,250,3052,,"17-02-2014"
530611,"STURDY INDS ","B ","Q",1.65,1.65,1.55,1.56,1.56,1.66,20,3811,6018,,"17-02-2014"
530615,"GARG FURNACE","T ","Q",19.05,19.05,19.05,19.05,19.05,20.05,1,1,19,,"17-02-2014"
530617,"SAMPRE NUTRI","B ","Q",10.5,10.5,10.45,10.45,10.45,10.5,3,302,3156,,"17-02-2014"
530643,"ECORECO     ","B ","Q",29.75,29.75,26.95,26.95,26.95,28.35,3,345,10137,,"17-02-2014"
530651,"SOFT INF SOL","T ","Q",5.3,5.3,5.3,5.3,5.3,5.2,5,750,3975,,"17-02-2014"
530655,"GOOD LUCK ST","B ","Q",16.8,17.15,15.75,17.15,17.15,17.5,37,1649,27569,,"17-02-2014"
530657,"GLOBAL SEC. ","T ","Q",6.66,6.66,6.66,6.66,6.66,6.53,8,3652,24322,,"17-02-2014"
530663,"GOYAL ASSO. ","B ","Q",0.39,0.39,0.39,0.39,0.39,0.4,1,250,97,,"17-02-2014"
530665,"ZENITH HEALT","T ","Q",0.68,0.68,0.68,0.68,0.68,0.71,7,3455,2349,,"17-02-2014"
530677,"SUPREME HO  ","T ","Q",10.6,10.6,10.6,10.6,10.6,10.8,3,1125,11925,,"17-02-2014"
530689,"LYKISLTD    ","T ","Q",15.25,15.25,15.25,15.25,15.25,15.55,1,5,76,,"17-02-2014"
530699,"RAJRAYON    ","B ","Q",0.36,0.36,0.36,0.36,0.36,0.36,3,8567,3084,,"17-02-2014"
530701,"KDJHRL      ","T ","Q",40.25,40.25,40.25,40.25,40.25,42.35,6,52700,2121175,,"17-02-2014"
530703,"INFO-DRIVE S","T ","Q",8.28,8.28,7.55,7.55,7.93,7.93,136,22380,182530,,"17-02-2014"
530707,"AFTEK LTD   ","B ","Q",3.5,3.5,3.28,3.34,3.34,3.37,82,14502,48286,,"17-02-2014"
530715,"ALPS INDS.  ","T ","Q",2.03,2.03,1.87,1.87,1.87,1.96,16,14599,27576,,"17-02-2014"
530719,"IKF FINANCE ","T ","Q",13.38,14.77,13.38,14.77,14.77,14.07,15,2939,42840,,"17-02-2014"
530721,"ANGIND      ","T ","Q",5.73,6.3,5.72,6.3,6.3,6,4,315,1810,,"17-02-2014"
530743,"GEI IND SYS ","T ","Q",25.25,25.25,22.85,23.75,23.75,24.05,38,1910,44343,,"17-02-2014"
530747,"INDO ASN.FIN","T ","Q",5.31,5.31,5.31,5.31,5.31,5.41,1,100,531,,"17-02-2014"
530759,"STERL.TOOLS ","B ","Q",110,117.65,109.35,112.65,111,115,89,275,31120,,"17-02-2014"
530763,"SUNBRIGHT   ","T ","Q",16.65,16.65,16.65,16.65,16.65,15.9,12,60000,999000,,"17-02-2014"
530765,"DEVKI LEAS. ","T ","Q",1.56,1.56,1.56,1.56,1.56,1.64,2,300,468,,"17-02-2014"
530769,"VENUS UNIVER","T ","Q",0.4,0.4,0.38,0.39,0.39,0.39,11,38400,14898,,"17-02-2014"
530773,"IVRCL LTD   ","B ","Q",10.95,11.2,10.9,11.09,11.09,11.07,1012,386182,4272746,,"17-02-2014"
530787,"INLAND PRINT","T ","Q",5.9,5.9,5.88,5.88,5.88,6.18,15,2500,14740,,"17-02-2014"
530789,"CEEJAY FINAN","T ","Q",15,15,15,15,15,15,1,40,600,,"17-02-2014"
530803,"BHAGERIA DYE","B ","Q",28.5,30.95,28.5,30.95,30.95,29.7,2,51,1455,,"17-02-2014"
530809,"BNR UDYOG   ","B ","Q",10.45,10.45,10.45,10.45,10.45,9.96,2,100,1045,,"17-02-2014"
530811,"NETVISTA INF","B ","Q",2.64,2.64,2.64,2.64,2.64,2.77,5,37000,97680,,"17-02-2014"
530813,"KRBL LTD.   ","B ","Q",45.7,47.75,45.4,46.05,46.05,45.45,1538,159344,7380866,,"17-02-2014"
530815,"REFNOL RESIN","T ","Q",18.1,18.1,18.1,18.1,18.1,17.25,1,1,18,,"17-02-2014"
530821,"SSPDL LTD   ","T ","Q",7.29,7.56,7.28,7.56,7.56,7.42,5,925,6745,,"17-02-2014"
530825,"DAIKAFFIL CH","B ","Q",12.05,12.05,11.59,11.59,11.59,12.19,10,1147,13523,,"17-02-2014"
530839,"CLIO INFOTEC","B ","Q",0.77,0.77,0.74,0.74,0.74,0.74,3,760,577,,"17-02-2014"
530843,"CUPID LTD   ","T ","Q",10.84,11.97,10.84,11.8,11.8,11.4,4,687,7723,,"17-02-2014"
530845,"SUNSHIELD CH","T ","Q",92,92,87.05,90.35,89.5,90.85,33,857,76338,,"17-02-2014"
530853,"HIPOLIN LTD.","T ","Q",39.9,39.9,38,38.15,38,38,21,160,6208,,"17-02-2014"
530863,"FEINDIALTD  ","B ","Q",8.71,9.38,8.71,9.37,9.37,9.15,6,152,1355,,"17-02-2014"
530867,"SURYANAGRI F","T ","Q",52.15,52.15,52.15,52.15,52.15,52.5,16,105000,5475750,,"17-02-2014"
530871,"CHEMBOND CHM","B ","Q",123,125.7,123,123,123,122.1,38,1310,162480,,"17-02-2014"
530881,"CENTURY PORT","T ","Q",19.35,19.35,19.35,19.35,19.35,19.65,1,20,387,,"17-02-2014"
530889,"ALKA INDIA  ","T ","Q",0.11,0.13,0.11,0.13,0.13,0.12,14,29750,3481,,"17-02-2014"
530897,"N.G.IND.LTD.","B ","Q",51.25,51.3,51.1,51.1,51.1,53.75,5,140,7174,,"17-02-2014"
530901,"ACIL        ","B ","Q",0.09,0.09,0.08,0.08,0.08,0.08,2,1043,93,,"17-02-2014"
530943,"SRI ADHIKARI","B ","Q",71.6,72.25,71.1,72.25,71.2,71.55,259,17677,1269209,,"17-02-2014"
530945,"GANGOTRI IRO","B ","Q",2.9,2.9,2.9,2.9,2.9,2.95,3,2201,6382,,"17-02-2014"
530951,"RAM INFORMAT","T ","Q",11.9,12.5,11.89,11.89,11.89,12.5,4,122,1511,,"17-02-2014"
530955,"MINDVISCAP  ","T ","Q",16.04,16.8,16.01,16.8,16.8,16.85,18,16300,262666,,"17-02-2014"
530959,"DIANA TEA CO","T ","Q",11.5,11.5,11.42,11.45,11.45,12,17,1675,19197,,"17-02-2014"
530961,"VIKAS GLO   ","B ","Q",271,271,220,228,228,226.65,168,14904,3427561,,"17-02-2014"
530965,"INDIAN OIL  ","A ","Q",238.5,243.5,238.1,240.6,240.6,240.3,768,24640,5924296,,"17-02-2014"
530967,"ARICENTINF  ","T ","Q",97,97.55,95.95,96.6,96.65,97.35,353,63980,6207649,,"17-02-2014"
530979,"INDIA HOME  ","B ","Q",52.5,52.75,51.7,52.75,52.75,52.4,115,3152,165726,,"17-02-2014"
530997,"UNIQUE ORGAN","B ","Q",14.3,14.35,14.3,14.35,14.35,13.7,24,4966,71208,,"17-02-2014"
530999,"BALAJI AMINE","B ","Q",37.1,37.3,35.1,35.4,35.2,37.55,664,12180,442286,,"17-02-2014"
531025,"VISAGAR FIN ","T ","Q",2.11,2.28,2.11,2.26,2.26,2.21,17,4562,9712,,"17-02-2014"
531027,"LIBORD SEC  ","B ","Q",6.2,6.2,6.2,6.2,6.2,6.2,1,50,310,,"17-02-2014"
531041,"COMPETENT AU","B ","Q",56.75,59.55,54.5,57,57,56.75,23,1505,84786,,"17-02-2014"
531043,"DHAN JEEVAN ","T ","Q",10.9,10.9,10.9,10.9,10.9,10.7,1,1,10,,"17-02-2014"
531047,"ADV POWER   ","T ","Q",2.31,2.31,2.31,2.31,2.31,2.2,1,1,2,,"17-02-2014"
531067,"CONTIL I LTD","T ","Q",6,6,6,6,6,5.95,5,1100,6600,,"17-02-2014"
531084,"INDO BONITO ","B ","Q",1.23,1.44,1.16,1.16,1.16,1.23,31,3960,4821,,"17-02-2014"
531091,"UNITED CRED.","T ","Q",24.95,24.95,24.95,24.95,24.95,26.25,1,5,124,,"17-02-2014"
531092,"OM MET INFRA","B ","Q",19.7,20.7,18.5,19.25,19.5,19.7,89,5300,102719,,"17-02-2014"
531096,"MOUNT EVERES","B ","Q",102,102.9,100,101.7,101.45,101.85,125,21495,2178969,,"17-02-2014"
531099,"RUBRA MEDICA","B ","Q",1.64,1.64,1.64,1.64,1.64,1.72,3,591,969,,"17-02-2014"
531102,"SURANA CORPO","B ","Q",19.1,19.1,19.1,19.1,19.1,20,1,200,3820,,"17-02-2014"
