SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532959,GAMMON INFRA,B ,Q,13.35,13.50,12.95,12.95,12.95,13.60,403,82639,1075302.00,
532960,IB SECURITIE,B ,Q,26.85,26.85,26.20,26.40,26.40,26.45,1083,233592,6158792.00,
532961,SITA SHREE  ,T ,Q,7.40,7.40,7.29,7.32,7.29,7.67,10,587,4308.00,
532966,TITAGARH WAG,T ,Q,213.25,213.25,203.10,205.05,205.05,213.25,244,7032,1450194.00,
532967,KIRI DYES   ,B ,Q,141.00,141.00,134.10,134.40,135.00,141.10,284,19695,2687971.00,
532972,SANKHYA INFO,B ,Q,9.01,9.51,9.01,9.51,9.51,9.25,14,2500,23228.00,
532974,ABML        ,B ,Q,21.50,22.85,20.95,21.65,21.70,21.85,111,17580,383270.00,
532975,AISHWARYA TE,B ,Q,4.35,4.39,4.35,4.35,4.35,4.15,23,5200,22624.00,
532976,JAIBALA IND ,T ,Q,24.00,24.70,23.60,23.60,23.60,24.55,22,1798,42965.00,
532977,BAJAJ AUTO  ,A ,Q,2110.00,2110.00,2072.00,2083.40,2084.00,2103.10,1384,65626,137347864.00,
532978,BAJAJ FINSE ,A ,Q,932.75,945.30,922.00,931.40,932.00,932.00,1192,506500,476058147.00,
532979,PIRPHYTO    ,B ,Q,33.75,35.00,33.75,34.10,34.00,34.15,44,6535,224118.00,
532980,GOKUL REFOIL,T ,Q,19.10,19.10,18.00,18.00,18.00,18.45,8,3100,57870.00,
532981,ANU LABS    ,Z ,Q,0.47,0.47,0.47,0.47,0.47,0.48,108,5748,2701.00,
532983,RPG LIFESCI ,B ,Q,98.00,101.00,93.00,96.00,95.75,98.45,394,5159,497870.00,
532985,KOTAK SENSEX,B ,Q,263.75,267.25,263.75,265.75,265.75,266.75,26,1002,266985.00,
532986,NIRAJ CEMENT,B ,Q,7.34,7.94,7.34,7.41,7.41,7.60,16,1696,12924.00,
532987,RANE BRAKE  ,T ,Q,251.00,252.70,238.55,242.40,242.00,251.00,78,1372,335453.00,
532988,RANE ENGVL  ,T ,Q,350.05,350.05,350.00,350.00,350.00,350.05,16,541,189352.00,
532989,BAFNA PHARMA,B ,Q,27.10,28.50,27.10,27.10,27.10,28.50,259,52151,1414610.00,
532990,METKORE     ,B ,Q,8.40,8.40,8.00,8.04,8.00,8.41,41,7300,60095.00,
532991,MVL LIMITED ,T ,Q,1.83,1.83,1.67,1.75,1.75,1.75,60,65978,114648.00,
532992,CHL LTD     ,T ,Q,18.75,18.75,18.65,18.65,18.65,19.60,10,1500,27980.00,
532993,SEZALGLASS  ,T ,Q,5.12,5.59,5.12,5.13,5.12,5.38,17,2704,14151.00,
532994,ARCHIDPLY IN,B ,Q,16.70,17.40,16.50,16.50,16.50,16.80,32,2494,41485.00,
532996,FIRST WIN   ,B ,Q,6.00,6.00,6.00,6.00,6.00,5.83,2,100,600.00,
532997,KSK ENERGY  ,B ,Q,103.15,103.15,97.50,98.05,97.90,99.60,183,4662,461090.00,
532998,LOTUS EYE   ,B ,Q,9.35,9.75,9.35,9.35,9.35,9.84,20,4943,46342.00,
533001,SOMI CONVEY ,B ,Q,25.55,25.85,25.25,25.60,25.80,25.90,46,2905,73809.00,
533006,BIRLA COTSYN,T ,Q,0.13,0.14,0.13,0.14,0.14,0.13,460,2505357,336071.00,
533007,LGB FORGE   ,T ,Q,5.10,5.11,5.00,5.11,5.11,4.87,70,50271,256694.00,
533008,OCL IRON&ST ,T ,Q,26.00,26.00,24.10,25.00,25.00,25.20,24,6431,160331.00,
533012,LANDMRK PRO ,B ,Q,3.15,3.38,3.15,3.37,3.37,3.15,19,9999,32357.00,
533014,SICAGEN IND ,B ,Q,18.30,18.30,17.00,17.05,17.00,17.40,103,5915,102335.00,
533015,NUTEK INDIA ,T ,Q,0.94,0.94,0.89,0.89,0.89,0.93,186,31877,28409.00,
533016,AUSTRAL COKE,T ,Q,0.97,1.02,0.97,0.98,0.98,1.02,66,74466,73410.00,
533017,RESURGERE   ,T ,Q,1.94,2.13,1.94,1.94,1.94,2.04,134,115303,227192.00,
533022,20 MICRONS  ,B ,Q,33.00,33.60,32.15,32.45,32.25,32.70,217,44298,1445630.00,
533023,WABCO       ,B ,Q,3483.35,3487.35,3420.00,3422.45,3420.00,3497.75,52,131,449654.00,
533029,ALKALI      ,B ,Q,23.75,23.75,22.20,23.00,23.00,22.65,42,513,11619.00,
533033,ISGEC*      ,T ,Q,2380.00,2380.00,2290.00,2330.00,2339.00,2368.60,103,564,1304081.00,
533047,INDIAN MET  ,B ,Q,366.00,366.00,349.10,356.85,358.00,365.10,332,3049,1085224.00,
533056,VEDAVAAG    ,B ,Q,9.00,9.00,8.55,8.60,8.55,8.92,26,11235,99397.00,
533059,BRAND HOUSE ,T ,Q,2.75,2.75,2.66,2.74,2.74,2.65,8,4790,13140.00,
533065,REISIX TENR ,T ,Q,0.44,0.44,0.41,0.41,0.41,0.43,178,675636,277946.00,
533068,ARROW TEX   ,B ,Q,9.09,9.09,9.09,9.09,9.09,8.72,2,5,45.00,
533078,MANJEERA    ,B ,Q,68.95,68.95,68.95,68.95,68.95,72.55,2,3,206.00,
533079,SAND PLAST  ,T ,Q,3.25,3.25,3.25,3.25,3.25,3.25,2,5,16.00,
533080,MOLDTKPACK  ,B ,Q,68.00,74.70,66.40,72.40,72.40,64.50,1931,230458,16219909.00,
533083,RISHABHDEV  ,B ,Q,4.20,4.28,3.90,4.05,4.05,4.18,56,21314,87542.00,
533088,MAH HOLIDAY ,B ,Q,301.00,304.25,299.05,300.00,300.00,299.85,781,8744,2632209.00,
533090,EXCEL INFO  ,B ,Q,21.10,21.10,19.00,20.50,20.50,20.10,109,157350,3147801.00,
533093,RAJ OIL     ,T ,Q,1.97,1.97,1.87,1.90,1.89,1.91,33,16237,31409.00,
533095,BENGLA& ASM ,B ,Q,429.90,429.90,411.00,411.00,411.00,419.50,8,69,29304.00,
533096,ADANI POWER ,A ,Q,56.35,57.15,54.35,56.05,56.05,56.20,8409,940688,52806058.00,
533098,NHPC        ,A ,Q,23.00,23.15,22.70,22.75,22.75,23.05,2528,691919,15830794.00,
533100,PREMIER ENER,T ,Q,9.75,10.00,9.75,10.00,10.00,10.25,9,1360,13282.00,
533101,SURYAMBA SP ,B ,Q,40.50,40.50,38.00,38.70,38.00,40.15,6,150,5802.00,
