"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
536671,"SUBHTEX     ","MT","Q",22.4,22.4,22.4,22.4,22.4,23.5,1,10000,224000,,"14-02-2014"
536709,"VAK POW INF ","B ","Q",2.14,2.14,2.14,2.14,2.14,2.18,8,26500,56710,,"14-02-2014"
536751,"FIVEX FIN   ","B ","Q",1.29,1.33,1.29,1.29,1.33,1.31,51,37737,49168,,"14-02-2014"
536773,"JIN POLY INV","B ","Q",43.55,49.9,43.55,44.05,45,47.65,156,2647,118682,,"14-02-2014"
536799,"SRS FINANCE ","B ","Q",32,32.4,31.95,32.15,32.15,31.95,276,159253,5109913,,"14-02-2014"
536820,"BOSTON TEK  ","T ","Q",50,50.5,50,50.5,50.5,50,14,761,38080,,"14-02-2014"
536846,"YURANUS INFR","T ","Q",9.7,9.7,9.32,9.32,9.7,9.51,17,4880,45659,,"14-02-2014"
536965,"BP CAPITAL  ","T ","Q",11.5,11.5,11.5,11.5,11.5,11.7,3,110,1265,,"14-02-2014"
537069,"ARNOLD HOLD ","B ","Q",231.35,231.35,229.85,230.9,230.9,231.25,247,18226,4204909,,"14-02-2014"
537092,"MODEX INT   ","B ","Q",24.2,24.25,24,24,24,24.2,30,2740,66315,,"14-02-2014"
537253,"SUNIL HEALTH","T ","Q",18.3,18.3,18.3,18.3,18.3,17.45,4,580,10614,,"14-02-2014"
537254,"RCI IND     ","M ","Q",23.1,34.55,23.1,28.55,32,28.8,10,30000,840150,,"14-02-2014"
537291,"NATH BIOGEN ","T ","Q",66.2,66.2,60.6,66.2,66.2,63.05,611,139364,9182960,,"14-02-2014"
537292,"AGRI TECH   ","T ","Q",12.89,12.89,12.89,12.89,12.89,12.28,35,11132,143491,,"14-02-2014"
537392,"ARUNJYOTI EN","T ","Q",9.4,9.45,9.4,9.45,9.45,9,4,144,1357,,"14-02-2014"
570001,"TATAMTRTDVR ","B ","Q",193,195.85,192,195.25,195.25,191.75,1453,73056,14187145,,"14-02-2014"
570002,"FRLDVR      ","B ","Q",39.6,46.75,39.6,41.45,41.45,39.2,727,20230,889358,,"14-02-2014"
570003,"GUJNREBNDVR ","B ","Q",4.21,4.35,4.2,4.26,4.26,4.34,25,645,2745,,"14-02-2014"
570004,"JISLBNDVR   ","B ","Q",28.05,29,27.75,28,28,28.55,32,1290,36622,,"14-02-2014"
580001,"STAN CHART  ","B ","I",120,120,118.5,118.65,118.65,119.85,37,1842,219211,,"14-02-2014"
590003,"KARUR VY(PS ","B ","Q",317,317.85,315,315.6,315.6,316.95,349,8772,2770055,,"14-02-2014"
590005,"TIDE WATE(PS","B ","Q",7266,7300.95,7156.85,7278.3,7278.3,7217.4,142,800,5826177,,"14-02-2014"
590006,"AMRUTANJAN  ","B ","Q",125,126.8,123.35,125.9,125.9,123.15,179,4256,533425,,"14-02-2014"
590011,"MOVING PI(PS","T ","Q",1.81,1.81,1.81,1.81,1.81,1.9,2,10,18,,"14-02-2014"
590013,"XPRO INDI(PS","T ","Q",25.9,26.5,24.65,26.4,26.4,25.7,22,958,25076,,"14-02-2014"
590021,"BHARAT RA(PS","B ","Q",274,274,273.95,274,274,262.45,3,103,28221,,"14-02-2014"
590022,"EASTER SI(PS","T ","Q",1.3,1.36,1.3,1.36,1.36,1.36,13,13276,17872,,"14-02-2014"
590024,"FERT CHE(PS ","B ","Q",19.3,19.7,19.15,19.3,19.3,19.1,33,2232,43477,,"14-02-2014"
590025,"GINNI FIL(PS","T ","Q",10.97,10.98,10.42,10.53,10.53,10.46,86,28397,310018,,"14-02-2014"
590030,"SOUTH PET(PS","B ","Q",10.1,11.5,10.1,11.28,11.28,10.61,211,42440,460147,,"14-02-2014"
590031,"DE NORA     ","B ","Q",104.55,108,103,103.45,103.45,106.4,281,4457,467354,,"14-02-2014"
590033,"SEPSL       ","T ","Q",89.4,89.4,89.4,89.4,89.4,92.6,2,100,8940,,"14-02-2014"
590038,"VISU INTL   ","T ","Q",0.57,0.59,0.55,0.59,0.59,0.57,11,1819,1059,,"14-02-2014"
590041,"KAVERI TELE ","B ","Q",28.75,28.75,28.75,28.75,28.75,29,1,1,28,,"14-02-2014"
590043,"HARITA SEAT ","B ","Q",78.5,78.5,78.5,78.5,78.5,78.45,4,62,4867,,"14-02-2014"
590046,"SMRUTHI ORG ","B ","Q",51.2,51.2,47,47.75,47.75,48.8,24,1380,68450,,"14-02-2014"
590050,"CSS TECH    ","T ","Q",11.46,11.46,11.46,11.46,11.46,10.92,1,1,11,,"14-02-2014"
590051,"SAKSOFT LTD ","B ","Q",73,74.9,73,74.9,74.9,71.35,32,992,73549,,"14-02-2014"
590055,"POLYSPIN EXP","T ","Q",20.95,20.95,20.95,20.95,20.95,22,2,93,1948,,"14-02-2014"
590056,"SALONA COTSP","B ","Q",17.15,18,17.15,18,18,18,5,1190,20995,,"14-02-2014"
590057,"NORTHGATE TE","T ","Q",0.63,0.63,0.63,0.63,0.63,0.63,5,1123,707,,"14-02-2014"
590058,"SHRE AJIT PU","B ","Q",49,49,49,49,49,51.15,2,27,1323,,"14-02-2014"
590060,"MK EXIM     ","T ","Q",10.93,10.93,10.93,10.93,10.93,11.15,3,400,4372,,"14-02-2014"
590061,"BRUSHMAN IND","T ","Q",0.56,0.56,0.56,0.56,0.56,0.54,3,84,47,,"14-02-2014"
590062,"ANDHRA SUGAR","B ","Q",89.4,89.8,87.2,88.2,88.5,88.45,415,4467,396491,,"14-02-2014"
590063,"DUNCANS INDU","B ","Q",14.05,14.5,14.05,14.17,14.2,14.1,45,5875,83770,,"14-02-2014"
590065,"INDIA MOTOR ","B ","Q",420,428,420,420,420,429.95,23,25,10538,,"14-02-2014"
