SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
516086,SH.RAJES.PAP,T ,Q,6.37,6.37,6.37,6.37,6.37,6.50,12,2301,14657.00,
516092,PUDMJEE IND ,B ,Q,15.77,15.77,15.20,15.25,15.25,15.02,23,4822,75666.00,
516096,SANGAL PAPER,T ,Q,39.00,39.95,39.00,39.95,39.95,39.75,4,101,3939.00,
516108,S.I.PAPER   ,T ,Q,44.40,44.40,40.20,42.00,42.00,42.30,13,1160,48618.00,
517001,BIRLA POWER ,Z ,Q,0.17,0.17,0.16,0.16,0.17,0.17,462,1233318,200139.00,
517015,VINDHYA TELE,B ,Q,389.40,401.00,386.55,392.05,401.00,400.00,34,197,76793.00,
517035,RUTTONSHA IN,T ,Q,13.45,13.45,13.45,13.45,13.45,14.15,8,500,6725.00,
517041,ADORWELDING ,T ,Q,225.00,227.00,220.00,225.25,227.00,227.95,60,1094,245215.00,
517059,SALZER ELEC ,B ,Q,120.00,120.00,107.15,111.70,112.00,112.05,149,25515,2857841.00,
517063,JETINFOTRAN ,B ,Q,54.00,54.00,51.00,52.00,52.00,51.80,19,1441,73930.00,
517080,HIGHGROUND  ,B ,Q,119.00,120.45,116.00,120.25,120.45,118.95,146,21360,2536175.00,
517096,APLAB LTD.  ,T ,Q,43.70,46.90,43.70,46.90,46.90,45.90,4,101,4416.00,
517119,PCS TECH    ,B ,Q,22.00,22.00,21.00,21.70,21.90,22.05,148,2440,52454.00,
517140,MOSER BEAR  ,B ,Q,10.20,10.22,9.89,9.89,9.89,10.41,763,269103,2675211.00,
517146,USHA MART.LT,B ,Q,40.40,40.70,39.00,39.20,39.15,40.70,428,63187,2507351.00,
517164,ZENITH COMP.,T ,Q,3.65,3.88,3.52,3.52,3.52,3.70,34,7929,28510.00,
517166,SPEL SEMICON,B ,Q,12.55,12.55,10.60,10.74,10.95,11.43,198,35114,392176.00,
517168,SUBROS LTD. ,T ,Q,48.00,48.40,47.00,47.15,47.10,47.40,452,13946,665936.00,
517170,KLKELEC     ,T ,Q,16.25,16.25,16.25,16.25,16.25,17.10,4,6,97.00,
517174,HONEYWELL   ,B ,Q,5228.00,5375.05,5179.10,5210.05,5179.10,5245.00,157,214,1127438.00,
517201,SWITCH.TECH.,B ,Q,51.60,55.85,51.55,52.85,54.90,55.95,48,2761,145941.00,
517206,LUMAX IND   ,B ,Q,340.00,345.00,335.05,339.45,338.00,344.30,65,3486,1183714.00,
517214,SMOBILITY   ,T ,Q,27.30,28.00,27.30,28.00,28.00,27.95,10,522,14265.00,
517224,SUJANA INDUS,T ,Q,2.19,2.19,2.07,2.07,2.07,2.17,228,80934,170104.00,
517228,TREND ELECT ,T ,Q,26.55,26.55,24.35,24.95,26.50,25.60,14,200,5071.00,
517230,PREM.AU.ELEC,T ,Q,8.20,9.01,8.20,8.30,8.30,8.59,39,8645,74483.00,
517236,CALCOM VISIO,B ,Q,3.85,3.85,3.71,3.71,3.71,3.90,4,1450,5442.00,
517264,FINELINE CI ,B ,Q,11.48,11.48,11.48,11.48,11.48,10.94,8,505,5797.00,
517271,HBL P SYS   ,B ,Q,19.30,19.30,18.05,18.65,18.65,18.95,371,60137,1128699.00,
517288,GUJ.POLY-AVX,B ,Q,6.60,6.61,6.60,6.60,6.60,6.33,15,7126,47065.00,
517296,PHOENIXLL   ,B ,Q,152.15,152.75,147.50,149.15,149.30,149.80,333,13551,2035139.00,
517300,GUJ.IND.POW.,B ,Q,93.40,93.45,90.00,90.35,90.35,93.25,673,27559,2520328.00,
517320,SAV INFOCOM ,T ,Q,4.16,4.16,4.16,4.16,4.16,3.97,2,20,83.00,
517326,CMC LTD.    ,B ,Q,1924.60,1930.00,1885.00,1914.60,1914.60,1928.00,353,990,1893447.00,
517330,CMI LTD.    ,T ,Q,49.90,49.90,45.20,48.85,48.85,47.55,244,51838,2549345.00,
517334,MOTHERSON SS,A ,Q,354.00,354.00,339.90,348.30,346.00,352.80,4879,131272,45348551.00,
517344,MINDTECK (I),T ,Q,41.00,41.00,38.20,39.70,40.30,40.00,106,8330,328153.00,
517354,HAVELLSINDIA,A ,Q,1265.95,1268.00,1220.10,1237.05,1237.05,1261.25,2354,18383,22835589.00,
517356,ACI INFOCOM ,B ,Q,4.87,4.87,4.20,4.24,4.87,4.43,51,508969,2156084.00,
517370,INCAP LTD.  ,T ,Q,15.31,15.31,15.31,15.31,15.31,15.31,2,100,1531.00,
517380,IGARSHI MOT ,B ,Q,193.00,196.40,185.50,187.45,187.45,192.90,862,22039,4162487.00,
517385,SYMPHONY    ,B ,Q,1043.25,1043.25,990.00,998.10,991.05,1019.15,291,1268,1272654.00,
517393,VINTRON INF.,T ,Q,4.00,4.00,4.00,4.00,4.00,4.10,4,200,800.00,
517397,PAN ELECTR. ,T ,Q,20.78,20.78,20.78,20.78,20.78,20.38,5,175,3636.00,
517399,VXL INSTRUM.,T ,Q,16.10,17.00,16.00,16.25,16.25,16.20,28,5510,90535.00,
517403,SUN SOURCE  ,T ,Q,7.51,7.51,7.51,7.51,7.51,7.37,20,5011,37632.00,
517411,SHYAM TELEC.,B ,Q,32.20,32.20,30.30,31.95,31.95,31.80,18,1235,39339.00,
517415,LEE&NEE SOFT,T ,Q,2.90,2.90,2.75,2.75,2.75,2.87,27,8995,25473.00,
517417,PATEL AIRTEM,B ,Q,82.00,84.75,81.35,82.90,83.40,83.20,350,17318,1432936.00,
517421,BFLYGANDHI  ,B ,Q,301.00,305.00,291.15,295.10,292.05,302.50,65,2647,784590.00,
517429,VJIL CONSULT,B ,Q,13.60,13.60,13.21,13.40,13.40,13.60,8,538,7279.00,
517437,DUTRON POLY.,T ,Q,30.00,30.10,27.40,27.40,27.40,28.80,8,1100,32820.00,
517447,R.S.SOFTWARE,B ,Q,390.00,400.40,366.90,380.70,380.70,384.65,8011,114964,44744995.00,
517467,MARSONS     ,B ,Q,7.52,7.80,7.41,7.41,7.41,7.79,72,113444,842582.00,
517477,ELNET TECH. ,T ,Q,56.50,57.50,53.80,54.00,54.00,56.55,84,6486,357567.00,
517494,ACCEL TRANS ,T ,Q,4.68,4.68,4.68,4.68,4.68,4.91,4,340,1591.00,
517496,RICOH INDIA ,B ,Q,211.00,217.95,200.20,204.45,204.00,210.70,4161,232674,48170730.00,
517498,WEBELSOLAR  ,T ,Q,24.20,25.30,23.25,23.75,24.50,24.10,82,11129,271783.00,
517500,ROTO PUMPS  ,B ,Q,381.10,381.10,375.00,377.25,380.00,384.35,115,1923,725947.00,
517506,TTK PRESTIGE,A ,Q,3999.00,4043.25,3937.00,3967.20,3959.45,3993.30,911,1583,6299052.00,
517514,DHINDIA     ,T ,Q,17.70,17.80,17.70,17.80,17.80,17.45,9,650,11560.00,
517518,LLOYD ELECT.,T ,Q,119.90,120.75,113.50,114.90,114.90,119.30,498,54358,6288308.00,
517522,RAJ GLO WIR ,B ,Q,90.10,95.00,90.05,94.00,93.95,95.15,12,146,13235.00,
